x,y,z,yaw,velocity,change_flag
140.1704,2.5201,0.0526,3.0175,0,0
139.1139,2.4997,0.0514,3.0945,7.1849,0
138.0649,2.4623,0.0517,3.1392,9.4141,0
136.924,2.4389,0.0518,-3.1318,11.0316,0
135.7807,2.4277,0.0518,-3.1318,12.4717,0
134.6666,2.4168,0.0516,-3.1319,14.313,0
133.5985,2.4064,0.0513,-3.1319,16.3764,0
132.3761,2.3946,0.0518,-3.132,18.6775,0
131.2853,2.3841,0.0519,-3.132,20.3301,0
130.0981,2.3727,0.0517,-3.1321,22.0535,0
128.8186,2.3605,0.0516,-3.1321,23.6939,0
127.8014,2.3509,0.0516,-3.1322,24.9683,0
126.7391,2.3408,0.0517,-3.1322,25.9213,0
125.6333,2.3305,0.0517,-3.1322,27.0157,0
124.5045,2.3199,0.0521,-3.1323,26.9895,0
123.3776,2.3094,0.0525,-3.1323,27.1037,0
122.2544,2.2989,0.0528,-3.1323,26.8494,0
121.1256,2.2884,0.0528,-3.1323,27.7424,0
119.9217,2.2771,0.0519,-3.1323,29.699,0
118.649,2.2653,0.0515,-3.1324,31.1266,0
117.328,2.2532,0.0515,-3.1325,32.1305,0
115.9705,2.2408,0.0517,-3.1325,32.9238,0
114.5835,2.2282,0.0516,-3.1325,33.5726,0
113.1729,2.2152,0.0489,-3.1325,34.1082,0
111.742,2.2024,0.045,-3.1326,34.5698,0
110.2923,2.1893,0.0404,-3.1326,34.9562,0
108.8267,2.1762,0.0369,-3.1326,35.2993,0
107.3487,2.1628,0.0354,-3.1326,35.5174,0
105.8716,2.1472,0.036,-3.1314,35.4143,0
104.3986,2.1227,0.0366,-3.1261,35.3187,0
102.9298,2.085,0.0369,-3.1173,35.2216,0
101.5188,2.0363,0.0378,-3.1079,32.6905,0
100.2104,1.9878,0.0387,-3.104,30.5348,0
98.9771,1.9413,0.0388,-3.1034,28.9691,0
97.7978,1.8964,0.0384,-3.1034,27.8583,0
96.6566,1.8527,0.038,-3.1033,27.0794,0
95.5423,1.8101,0.0375,-3.1033,26.5269,0
94.4468,1.7681,0.0372,-3.1033,26.1601,0
93.3638,1.7266,0.0369,-3.1033,25.884,0
92.287,1.6854,0.0367,-3.1033,25.8636,0
91.2133,1.6442,0.0365,-3.1034,25.7245,0
90.1404,1.6032,0.0363,-3.1032,25.808,0
89.0675,1.562,0.0363,-3.1034,25.7386,0
87.9922,1.5209,0.0362,-3.1032,25.8969,0
86.9144,1.4795,0.0362,-3.1034,25.882,0
85.8325,1.4385,0.0361,-3.1034,26.0659,0
84.747,1.4025,0.0361,-3.1066,26.0658,0
83.657,1.3746,0.0361,-3.1125,26.2459,0
82.5634,1.361,0.0361,-3.1233,26.2497,0
81.4652,1.3579,0.0361,-3.1339,26.44,0
80.3632,1.3516,0.0361,-3.1363,26.4583,0
79.2566,1.3458,0.0361,-3.1364,26.6354,0
78.1465,1.3401,0.0361,-3.1365,26.6483,0
77.0324,1.3344,0.0361,-3.1365,26.8119,0
75.915,1.3287,0.0361,-3.1365,26.8212,0
74.7938,1.3233,0.0361,-3.1366,26.9811,0
73.6692,1.3192,0.0361,-3.1375,26.9985,0
72.5406,1.3149,0.0361,-3.1377,27.1535,0
71.4088,1.3105,0.0361,-3.1378,27.1739,0
70.2721,1.3061,0.0361,-3.1377,27.3759,0
69.1283,1.3017,0.036,-3.1378,27.5268,0
67.9734,1.2973,0.036,-3.1378,27.8784,0
66.8048,1.2936,0.0359,-3.1382,28.1897,0
65.6195,1.2959,0.0358,3.1414,28.6522,0
64.4161,1.3072,0.0357,3.135,29.0743,0
63.1932,1.3287,0.0357,3.1268,29.5733,0
