x,y,z,yaw,velocity,change_flag
220.3888,-133.3343,0.0364,0.0039,0,0
221.4553,-133.3303,0.0346,0.0035,6.9909,0
222.6055,-133.3263,0.0350,0.0035,9.2670,0
223.7048,-133.3224,0.0352,0.0035,10.5118,0
224.8044,-133.3185,0.0350,0.0035,12.1030,0
225.8794,-133.3148,0.0349,0.0034,13.6101,0
227.2895,-133.3100,0.0349,0.0034,15.2994,0
228.6240,-133.3054,0.0350,0.0034,16.6259,0
230.0554,-133.3006,0.0351,0.0034,17.5633,0
231.5212,-133.2956,0.0356,0.0033,17.4586,0
232.7142,-133.2916,0.0359,0.0034,16.9165,0
234.0919,-133.2870,0.0361,0.0034,16.1940,0
235.4128,-133.2826,0.0361,0.0034,15.6040,0
236.4935,-133.2789,0.0359,0.0034,15.6152,0
237.8179,-133.2744,0.0356,0.0034,16.1912,0
239.2022,-133.2697,0.0354,0.0034,17.0212,0
240.6644,-133.2649,0.0352,0.0033,18.0273,0
241.6862,-133.2615,0.0361,0.0033,18.5832,0
242.7449,-133.2579,0.0359,0.0033,19.2517,0
244.1113,-133.2533,0.0358,0.0031,19.8717,0
245.2115,-133.2497,0.0360,0.0031,19.9732,0
246.3216,-133.2461,0.0361,0.0031,20.1693,0
247.4409,-133.2424,0.0361,0.0031,20.2914,0
248.8454,-133.2381,0.0362,0.0033,20.1615,0
250.2536,-133.2334,0.0362,0.0030,20.3738,0
251.6600,-133.2291,0.0362,0.0033,20.1361,0
252.7813,-133.2255,0.0363,0.0033,20.0384,0
253.8969,-133.2220,0.0363,0.0033,19.9408,0
255.2859,-133.2175,0.0363,0.0030,20.0600,0
256.3930,-133.2140,0.0363,0.0030,19.9955,0
257.7709,-133.2099,0.0363,0.0033,19.7060,0
259.1427,-133.2054,0.0363,0.0029,19.7891,0
260.5041,-133.2014,0.0363,0.0032,19.4421,0
261.5862,-133.1981,0.0363,0.0032,19.3135,0
262.6607,-133.1949,0.0364,0.0032,19.1742,0
263.7275,-133.1916,0.0364,0.0032,19.0330,0
264.7860,-133.1884,0.0364,0.0032,18.8676,0
266.0916,-133.1842,0.0364,0.0028,18.6993,0
267.3629,-133.1806,0.0364,0.0032,18.2281,0
268.6334,-133.1767,0.0364,0.0034,17.9592,0
269.9123,-133.1725,0.0362,0.0036,18.3508,0
271.1949,-133.1680,0.0362,0.0032,18.6686,0
272.2357,-133.1644,0.0361,0.0032,19.0069,0
273.5657,-133.1602,0.0359,0.0034,19.2817,0
274.9304,-133.1555,0.0359,0.0031,19.9687,0
276.0454,-133.1519,0.0359,0.0031,20.3388,0
277.1807,-133.1482,0.0359,0.0031,20.6863,0
278.3327,-133.1445,0.0359,0.0031,20.9299,0
279.7867,-133.1400,0.0360,0.0033,20.9434,0
281.2534,-133.1352,0.0361,0.0030,21.2410,0
282.7119,-133.1308,0.0363,0.0033,20.6990,0
284.1237,-133.1261,0.0367,0.0029,19.9523,0
285.1986,-133.1227,0.0369,0.0029,19.0174,0
286.4726,-133.1189,0.0368,0.0034,18.1468,0
287.7299,-133.1147,0.0365,0.0037,17.9611,0
288.7310,-133.1111,0.0359,0.0037,17.9768,0
289.9742,-133.1065,0.0355,0.0037,17.8179,0
291.4398,-133.1011,0.0359,0.0037,17.2669,0
292.5982,-133.0968,0.0363,0.0037,16.0833,0
293.8524,-133.0922,0.0368,0.0038,14.0972,0
295.1086,-133.0875,0.0369,0.0038,11.9066,0
296.3058,-133.0829,0.0368,0.0038,9.7623,0
297.3077,-133.0791,0.0364,0.0039,8.6699,0
298.3363,-133.0751,0.0353,0.0038,10.1654,0
299.4255,-133.0709,0.0349,0.0038,12.1018,0
300.6850,-133.0661,0.0349,0.0038,13.6302,0
301.8573,-133.0617,0.0352,0.0038,14.3806,0
302.8624,-133.0579,0.0355,0.0037,14.4557,0
304.0477,-133.0535,0.0359,0.0038,13.9468,0
305.3502,-133.0486,0.0362,0.0038,12.8377,0
306.5336,-133.0441,0.0364,0.0038,11.5639,0
307.5833,-133.0401,0.0365,0.0038,10.0571,0
308.7083,-133.0358,0.0366,0.0039,8.0100,0
309.7718,-133.0318,0.0364,0.0039,6.1372,0
310.7842,-133.0278,0.0361,0.0038,5.1663,0
311.7887,-133.0239,0.0361,0.0038,3.9369,0
312.8554,-133.0197,0.0351,0.0039,6.3821,0
313.9073,-133.0157,0.0350,0.0038,8.5638,0
315.0815,-133.0112,0.0351,0.0038,10.1213,0
316.1154,-133.0072,0.0353,0.0038,11.0365,0
317.2113,-133.0031,0.0355,0.0038,11.3131,0
318.2644,-132.9991,0.0361,0.0038,10.2529,0
319.3139,-132.9951,0.0364,0.0038,8.8014,0
320.3393,-132.9912,0.0363,0.0039,7.6484,0
321.3907,-132.9871,0.0363,0.0038,6.1082,0
322.4714,-132.9830,0.0355,0.0039,6.1806,0
323.5850,-132.9787,0.0351,0.0038,8.2542,0
324.6821,-132.9745,0.0354,0.0038,9.1995,0
325.7522,-132.9704,0.0354,0.0038,10.0336,0
326.7539,-132.9666,0.0355,0.0038,10.4376,0
328.0246,-132.9597,0.0360,0.0050,9.6746,0
329.1356,-132.9239,0.0363,0.0216,8.1649,0
330.2216,-132.8280,0.0365,0.0605,6.1104,0
331.2226,-132.6521,0.0364,0.1223,3.0461,0
332.2716,-132.3650,0.0357,0.2043,4.2784,0
333.2079,-131.9944,0.0362,0.2971,1.9560,0
334.1137,-131.5067,0.0353,0.4035,3.9068,0
334.9576,-130.9256,0.0357,0.5109,4.7498,0
335.8029,-130.1853,0.0358,0.6304,4.7145,0
336.4815,-129.4397,0.0358,0.7378,4.8863,0
337.0880,-128.6076,0.0358,0.8472,4.8948,0
337.6040,-127.7131,0.0358,0.9555,4.9122,0
338.0227,-126.7691,0.0358,1.0626,4.9085,0
338.3303,-125.7877,0.0358,1.1730,4.8683,0
338.5272,-124.7831,0.0358,1.2826,4.8769,0
338.6204,-123.6871,0.0358,1.3972,4.9365,0
338.6372,-122.6392,0.0358,1.4812,5.0743,0
338.6542,-121.5728,0.0358,1.5205,5.1464,0
338.6671,-120.5669,0.0358,1.5404,5.2330,0
338.6630,-119.5626,0.0355,1.5588,6.0967,0
338.6480,-118.3958,0.0352,1.5725,7.9613,0
338.6459,-117.3144,0.0353,1.5726,9.2412,0
338.6440,-116.2320,0.0353,1.5725,10.1839,0
338.6423,-115.2066,0.0354,1.5725,10.8403,0
338.6405,-113.9729,0.0355,1.5725,11.3096,0
338.6388,-112.8547,0.0356,1.5725,11.6806,0
338.6371,-111.7004,0.0356,1.5725,12.0436,0
338.6357,-110.6849,0.0356,1.5725,12.3015,0
338.6337,-109.6508,0.0356,1.5725,12.4970,0
338.6316,-108.6034,0.0357,1.5725,12.6231,0
338.6291,-107.3710,0.0357,1.5725,12.7200,0
338.6270,-106.3083,0.0357,1.5725,12.7662,0
338.6249,-105.2481,0.0358,1.5725,12.6629,0
338.6228,-104.2000,0.0358,1.5725,12.5039,0
338.6207,-103.1642,0.0359,1.5725,12.3665,0
338.6193,-102.1390,0.0358,1.5725,12.2496,0
338.6176,-100.9532,0.0358,1.5725,12.1552,0
338.6160,-99.7747,0.0358,1.5725,12.0935,0
