x,y,z,yaw,velocity,change_flag
191.6514,173.2038,0.2339,-3.1375,21.6521,0
190.4143,173.1988,0.2369,-3.1375,22.8381,0
189.1455,173.1936,0.2342,-3.1375,22.7600,0
187.9167,173.1886,0.2334,-3.1376,21.6125,0
186.7722,173.1838,0.2335,-3.1377,19.7957,0
185.7418,173.1799,0.2333,-3.1371,17.7345,0
184.5782,173.1747,0.2328,-3.1370,15.8792,0
183.5429,173.1700,0.2329,-3.1370,14.1312,0
182.2126,173.1639,0.2322,-3.1370,13.5808,0
181.0706,173.1586,0.2317,-3.1370,13.8392,0
179.8982,173.1533,0.2315,-3.1370,14.3260,0
178.8796,173.1486,0.2313,-3.1370,14.9870,0
177.8111,173.1437,0.2312,-3.1370,15.7495,0
176.6794,173.1385,0.2310,-3.1371,16.8437,0
175.4606,173.1330,0.2311,-3.1371,18.1685,0
174.4210,173.1284,0.2317,-3.1371,19.2313,0
173.3365,173.1235,0.2316,-3.1372,19.9144,0
172.2233,173.1185,0.2317,-3.1373,20.2452,0
171.1224,173.1135,0.2322,-3.1374,19.5152,0
170.0893,173.1093,0.2327,-3.1368,17.9034,0
168.8988,173.1037,0.2323,-3.1368,16.3791,0
167.8281,173.0986,0.2327,-3.1368,14.5807,0
166.7027,173.0931,0.2329,-3.1367,12.5926,0
165.5814,173.0876,0.2327,-3.1367,10.6215,0
164.5131,173.0824,0.2326,-3.1367,8.7447,0
163.4391,173.0771,0.2324,-3.1366,6.8578,0
162.3817,173.0719,0.2322,-3.1366,4.9996,0
161.3734,173.0668,0.2320,-3.1366,3.2275,0
160.3603,173.0618,0.2318,-3.1366,1.4465,0
159.3587,173.0562,0.2299,-3.1372,5.7110,0
158.2176,173.0512,0.2300,-3.1373,10.5036,0
157.0426,173.0462,0.2302,-3.1373,13.3398,0
155.8549,173.0411,0.2305,-3.1374,15.0824,0
154.7492,173.0364,0.2306,-3.1374,16.6771,0
153.5308,173.0312,0.2310,-3.1374,18.2883,0
152.4789,173.0268,0.2315,-3.1375,19.3597,0
151.3640,173.0222,0.2313,-3.1375,20.4545,0
150.1953,173.0174,0.2313,-3.1375,21.3208,0
148.9873,173.0125,0.2314,-3.1375,21.9147,0
147.7518,173.0076,0.2316,-3.1376,22.3593,0
146.4925,173.0025,0.2317,-3.1375,22.7829,0
145.2129,172.9973,0.2318,-3.1375,23.1067,0
143.9143,172.9921,0.2318,-3.1375,23.4862,0
142.5933,172.9869,0.2318,-3.1376,23.9036,0
141.5881,172.9832,0.2318,-3.1379,24.2860,0
140.5749,172.9804,0.2318,-3.1383,24.3118,0
139.2296,172.9787,0.2321,-3.1396,23.8914,0
137.9362,172.9767,0.2327,-3.1398,22.5373,0
136.7351,172.9747,0.2332,-3.1397,20.6658,0
135.6427,172.9730,0.2240,-3.1398,18.7684,0
134.4227,172.9785,0.2089,3.1403,16.7481,0
133.3259,172.9860,0.2037,3.1371,15.0160,0
132.2988,172.9970,0.1823,3.1343,14.8662,0
131.2021,173.0110,0.1734,3.1313,16.7793,0
129.9318,173.0295,0.1709,3.1285,19.6360,0
128.7634,173.0501,0.1772,3.1270,22.0181,0
127.4596,173.0746,0.1865,3.1256,24.3539,0
126.4102,173.0910,0.2016,3.1253,25.7277,0
125.3250,173.1094,0.2153,3.1257,26.3158,0
