x,y,z,yaw,velocity,change_flag
46.2706,-205.4612,0.0359,-0.0230,0,0
47.2775,-205.4845,0.0341,-0.0231,8.3013,0
48.4069,-205.5105,0.0342,-0.0231,11.9093,0
49.5357,-205.5366,0.0340,-0.0232,15.1045,0
50.6937,-205.5634,0.0338,-0.0232,18.0704,0
51.7688,-205.5884,0.0347,-0.0233,20.3440,0
52.9738,-205.6165,0.0344,-0.0234,22.6756,0
54.3057,-205.6476,0.0343,-0.0235,24.9476,0
55.3856,-205.6729,0.0343,-0.0235,26.6879,0
56.5325,-205.6999,0.0343,-0.0236,28.2159,0
57.7452,-205.7285,0.0344,-0.0236,29.8170,0
59.0219,-205.7587,0.0344,-0.0237,31.3150,0
60.3609,-205.7904,0.0344,-0.0237,32.8028,0
61.7608,-205.8227,0.0345,-0.0233,34.2449,0
63.2200,-205.8541,0.0345,-0.0219,35.6495,0
64.2249,-205.8739,0.0345,-0.0205,36.5630,0
65.2549,-205.8915,0.0346,-0.0182,37.4590,0
66.3096,-205.9062,0.0346,-0.0152,38.3388,0
67.3885,-205.9178,0.0346,-0.0117,39.2029,0
68.4912,-205.9261,0.0346,-0.0082,40.0519,0
69.6172,-205.9314,0.0347,-0.0050,40.8857,0
70.7662,-205.9334,0.0347,-0.0019,41.7044,0
71.9377,-205.9316,0.0347,0.0014,42.5066,0
73.1312,-205.9264,0.0347,0.0044,43.2931,0
74.3462,-205.9191,0.0348,0.0066,44.0643,0
75.5825,-205.9103,0.0348,0.0078,44.8206,0
76.8395,-205.9007,0.0348,0.0082,45.5628,0
78.1169,-205.8904,0.0348,0.0083,46.2907,0
79.4143,-205.8797,0.0349,0.0084,46.9963,0
80.7301,-205.8687,0.0349,0.0083,47.6289,0
82.0607,-205.8576,0.0350,0.0083,48.0693,0
83.3992,-205.8465,0.0352,0.0083,48.2320,0
84.7359,-205.8354,0.0355,0.0083,48.0033,0
86.0598,-205.8244,0.0360,0.0083,47.3881,0
87.3613,-205.8136,0.0365,0.0083,46.4635,0
88.6334,-205.8031,0.0371,0.0084,45.3196,0
89.8713,-205.7928,0.0375,0.0084,44.0326,0
91.0720,-205.7827,0.0379,0.0085,42.6551,0
92.2335,-205.7728,0.0382,0.0086,41.2239,0
93.3548,-205.7621,0.0385,0.0093,39.7650,0
94.4354,-205.7482,0.0386,0.0117,38.2973,0
95.4753,-205.7307,0.0387,0.0154,36.8355,0
96.9595,-205.6967,0.0388,0.0224,34.6742,0
98.3544,-205.6486,0.0388,0.0327,32.5684,0
99.6626,-205.5848,0.0388,0.0458,30.5367,0
100.8874,-205.5094,0.0387,0.0583,28.5930,0
102.0328,-205.4308,0.0386,0.0663,26.7360,0
103.1027,-205.3509,0.0385,0.0721,24.9763,0
104.1027,-205.2751,0.0384,0.0747,23.3709,0
105.3488,-205.1818,0.0380,0.0752,21.8762,0
106.5312,-205.0930,0.0375,0.0753,20.9959,0
107.6854,-205.0012,0.0369,0.0780,20.7743,0
108.8383,-204.9000,0.0365,0.0843,20.9034,0
110.0020,-204.7859,0.0362,0.0933,21.1759,0
111.1826,-204.6562,0.0360,0.1043,21.5554,0
112.3857,-204.5130,0.0359,0.1142,22.0360,0
113.6181,-204.3549,0.0358,0.1237,22.6636,0
114.8899,-204.1796,0.0356,0.1333,23.5226,0
116.2129,-203.9865,0.0355,0.1421,24.5302,0
117.2415,-203.8275,0.0354,0.1491,25.3489,0
118.3043,-203.6552,0.0353,0.1568,26.2464,0
119.4054,-203.4681,0.0352,0.1646,27.2688,0
120.5495,-203.2645,0.0351,0.1728,28.3945,0
121.7395,-203.0414,0.0350,0.1819,29.5947,0
122.9774,-202.7970,0.0349,0.1918,30.8337,0
124.2631,-202.5279,0.0348,0.2033,32.0720,0
125.5944,-202.2319,0.0348,0.2162,33.2505,0
126.9677,-201.9075,0.0349,0.2299,34.3486,0
128.3789,-201.5532,0.0349,0.2445,35.3700,0
129.8245,-201.1676,0.0350,0.2597,36.3305,0
130.8058,-200.8925,0.0350,0.2701,36.9427,0
131.8002,-200.6028,0.0351,0.2808,37.5341,0
132.8067,-200.2976,0.0351,0.2917,38.0999,0
133.8244,-199.9769,0.0352,0.3029,38.6380,0
134.8524,-199.6405,0.0352,0.3144,39.1515,0
135.8896,-199.2880,0.0352,0.3259,39.6446,0
136.9355,-198.9192,0.0353,0.3376,40.1246,0
137.9893,-198.5339,0.0353,0.3495,40.5932,0
139.0506,-198.1317,0.0353,0.3614,41.0510,0
140.1188,-197.7124,0.0354,0.3735,41.4984,0
141.1933,-197.2759,0.0354,0.3856,41.9362,0
142.2737,-196.8222,0.0354,0.3976,42.3642,0
143.3594,-196.3509,0.0354,0.4097,42.7824,0
144.4497,-195.8618,0.0354,0.4220,43.1913,0
145.5441,-195.3548,0.0354,0.4344,43.5920,0
146.6425,-194.8303,0.0355,0.4466,43.9859,0
147.7447,-194.2887,0.0355,0.4582,44.3712,0
148.8502,-193.7302,0.0355,0.4693,44.7482,0
149.9590,-193.1555,0.0355,0.4799,45.1119,0
151.0704,-192.5646,0.0355,0.4903,45.4625,0
152.1840,-191.9575,0.0355,0.5007,45.8017,0
153.2993,-191.3345,0.0356,0.5112,46.1308,0
154.4159,-190.6954,0.0356,0.5217,46.4502,0
155.5329,-190.0398,0.0356,0.5326,46.7558,0
156.6490,-189.3664,0.0356,0.5446,47.0494,0
157.7632,-188.6746,0.0356,0.5576,47.3345,0
158.8749,-187.9642,0.0357,0.5712,47.6119,0
159.9833,-187.2349,0.0357,0.5850,47.8816,0
161.0878,-186.4864,0.0357,0.5990,48.1441,0
162.1878,-185.7188,0.0357,0.6130,48.3998,0
163.2827,-184.9318,0.0357,0.6271,48.6492,0
164.3720,-184.1255,0.0357,0.6412,48.8927,0
165.4552,-183.3000,0.0357,0.6554,49.1301,0
166.5318,-182.4554,0.0357,0.6696,49.3593,0
167.6012,-181.5919,0.0358,0.6837,49.5718,0
168.6625,-180.7103,0.0358,0.6978,49.7295,0
169.7132,-179.8126,0.0359,0.7118,49.7583,0
170.7501,-178.9016,0.0360,0.7256,49.6299,0
171.7700,-177.9803,0.0362,0.7393,49.3655,0
172.7706,-177.0513,0.0364,0.7529,49.0052,0
173.7506,-176.1165,0.0365,0.7663,48.5809,0
174.7093,-175.1779,0.0367,0.7790,48.1053,0
175.6463,-174.2370,0.0368,0.7914,47.5903,0
176.5613,-173.2952,0.0369,0.8034,47.0571,0
177.4551,-172.3535,0.0370,0.8148,46.5181,0
178.3281,-171.4128,0.0371,0.8255,45.9782,0
179.1807,-170.4738,0.0371,0.8360,45.4361,0
180.0128,-169.5366,0.0371,0.8466,44.8947,0
180.8241,-168.6011,0.0371,0.8577,44.3580,0
181.6148,-167.6674,0.0371,0.8692,43.8291,0
182.3854,-166.7358,0.0371,0.8808,43.3120,0
183.1361,-165.8062,0.0371,0.8923,42.8074,0
183.8674,-164.8788,0.0371,0.9038,42.3156,0
184.5797,-163.9537,0.0371,0.9151,41.8364,0
185.2734,-163.0308,0.0371,0.9264,41.3705,0
185.9491,-162.1104,0.0371,0.9375,40.9235,0
186.6074,-161.1921,0.0370,0.9485,40.5021,0
187.2489,-160.2758,0.0370,0.9595,40.1050,0
187.8743,-159.3612,0.0370,0.9703,39.7287,0
188.4841,-158.4485,0.0369,0.9809,39.3699,0
189.0789,-157.5375,0.0369,0.9913,39.0261,0
189.6592,-156.6282,0.0369,1.0015,38.6953,0
190.2253,-155.7206,0.0368,1.0117,38.3764,0
190.7775,-154.8147,0.0368,1.0217,38.0683,0
191.3163,-153.9104,0.0368,1.0317,37.7701,0
191.8418,-153.0078,0.0368,1.0416,37.4813,0
192.3543,-152.1068,0.0367,1.0515,37.2013,0
192.8542,-151.2075,0.0367,1.0613,36.9298,0
193.3418,-150.3099,0.0367,1.0709,36.6663,0
193.8172,-149.4139,0.0367,1.0805,36.4106,0
194.2808,-148.5195,0.0367,1.0900,36.1622,0
194.7327,-147.6268,0.0367,1.0995,35.9211,0
195.3893,-146.2909,0.0366,1.1135,35.5725,0
196.0209,-144.9586,0.0366,1.1275,35.2389,0
196.6285,-143.6301,0.0366,1.1411,34.9203,0
197.2132,-142.3056,0.0366,1.1542,34.6151,0
197.7757,-140.9849,0.0366,1.1671,34.3229,0
198.3164,-139.6680,0.0366,1.1800,34.0434,0
198.8359,-138.3548,0.0365,1.1927,33.7760,0
199.3346,-137.0452,0.0365,1.2054,33.5202,0
199.8131,-135.7391,0.0365,1.2180,33.2755,0
200.2717,-134.4365,0.0365,1.2305,33.0415,0
200.7109,-133.1372,0.0365,1.2430,32.8176,0
201.1311,-131.8412,0.0365,1.2553,32.6036,0
201.5325,-130.5484,0.0365,1.2676,32.3989,0
